tag,n,d,p,graph_seed,spsa_seed,opt_cut,best_cut,approx_ratio,est_Ecut,best_str,total_shots,L,D,C_add,C_ratio
fixed1024,6,3,4,1000,2000,7,3,0.42857142857142855,6.21484375,001101,384000,105.62286899610564,2.326668459748026,103.29620053635762,45.39661358006478
default,6,3,4,1000,2000,7,3,0.42857142857142855,6.401611328125,001101,787683,129.0524427589548,2.5390831089316346,126.51335965002318,50.82639567999646
geom-aware,6,3,4,1000,2000,7,7,1.0,5.434326171875,101010,367660,118.33668270119945,2.7711511888581466,115.56553151234131,42.70307703779962
fixed1024,6,3,4,1001,2001,9,5,0.5555555555555556,5.368408203125,111000,384000,116.82813354274472,1.7414938094096895,115.08663973333503,67.08501225298396
default,6,3,4,1001,2001,9,9,1.0,5.09912109375,101001,787683,68.32251390596532,3.0129762002264937,65.30953770573883,22.676088148598495
geom-aware,6,3,4,1001,2001,9,9,1.0,5.100341796875,010110,217518,75.69292041434548,2.401679592071712,73.29124082227376,31.51666053382751
fixed1024,6,3,4,1002,2002,9,9,1.0,7.78369140625,010101,384000,179.55381731405427,2.3288120353584696,177.2250052786958,77.10103459956393
default,6,3,4,1002,2002,9,9,1.0,6.678955078125,010101,787683,219.4617750317106,2.7890298533676794,216.67274517834292,78.68749585692542
geom-aware,6,3,4,1002,2002,9,9,1.0,7.045166015625,010101,292331,214.10728350961017,2.434883549577197,211.67239996003298,87.93327448731115
fixed1024,6,3,4,1003,2003,7,5,0.7142857142857143,5.21044921875,100011,384000,95.53876643591406,2.735941723992526,92.80282471192153,34.91988356261314
default,6,3,4,1003,2003,7,7,1.0,5.4716796875,010101,787683,63.872778352810585,2.5588073747203817,61.313970978090204,24.961933041087313
geom-aware,6,3,4,1003,2003,7,7,1.0,5.19775390625,010110,529196,56.04266238463801,2.1397833131796338,53.90287907145837,26.190811957198047
fixed1024,6,3,4,1004,2004,7,7,1.0,5.52880859375,101001,384000,47.77408359809602,2.3552074044298053,45.418876193666215,20.284448625730313
default,6,3,4,1004,2004,7,7,1.0,5.5029296875,001110,787683,95.93105839517425,2.4649357199807973,93.46612267519345,38.918279944404226
geom-aware,6,3,4,1004,2004,7,7,1.0,5.327880859375,101001,298446,105.90414220037457,2.4064252947659397,103.49771690560863,44.00890500557812
fixed1024,6,3,4,1005,2005,7,3,0.42857142857142855,5.8828125,101001,384000,95.32403888261149,2.6198487418094256,92.70419014080207,36.38532154981396
default,6,3,4,1005,2005,7,7,1.0,5.61328125,100101,787683,72.48404678597873,2.4276912542333866,70.05635553174535,29.857193191095323
geom-aware,6,3,4,1005,2005,7,7,1.0,5.583740234375,100101,559213,77.82559700775094,2.6491351201144666,75.17646188763648,29.377737819725922
fixed1024,6,3,4,1006,2006,7,5,0.7142857142857143,5.716064453125,010101,384000,74.2604625870325,2.746668553007404,71.5137940340251,27.036557616579785
default,6,3,4,1006,2006,7,5,0.7142857142857143,5.49365234375,010101,787683,70.87656655076648,2.651711056388211,68.22485549437828,26.728615993065475
